SalesOrderID,OrderDate,ProductID,ProductName,Quantity,CustomerID
"SO-9001","2023-03-26","P103","Golden Cocoa Truffles","169","CUST-1499"
"SO-9002","2022-10-08","P201","Mystic White Chocolate","185","CUST-1462"
"SO-9003","2023-01-10","P103","Golden Cocoa Truffles","100","CUST-1333"
"SO-9004","2022-11-18","P201","Mystic White Chocolate","168","CUST-1114"
"SO-9005","2025-09-15","P102","Enchanted Milk Chocolate","106","CUST-1042"
"SO-9006","2022-05-09","P103","Golden Cocoa Truffles","137","CUST-1303"
"SO-9007","2025-05-03","P103","Golden Cocoa Truffles","152","CUST-1004"
"SO-9008","2024-07-21","P102","Enchanted Milk Chocolate","169","CUST-1092"
"SO-9009","2025-04-02","P102","Enchanted Milk Chocolate","101","CUST-1345"
"SO-9010","2026-03-25","P102","Enchanted Milk Chocolate","198","CUST-1263"
"SO-9011","2022-05-27","P103","Golden Cocoa Truffles","37","CUST-1012"
"SO-9012","2024-11-06","P102","Enchanted Milk Chocolate","101","CUST-1416"
"SO-9013","2022-09-27","P102","Enchanted Milk Chocolate","164","CUST-1209"
"SO-9014","2025-04-08","P101","Magical Dark Chocolate","108","CUST-1429"
"SO-9015","2024-01-11","P103","Golden Cocoa Truffles","26","CUST-1422"
"SO-9016","2025-04-26","P103","Golden Cocoa Truffles","155","CUST-1377"
"SO-9017","2025-09-10","P102","Enchanted Milk Chocolate","16","CUST-1426"
"SO-9018","2024-02-11","P201","Mystic White Chocolate","98","CUST-1090"
"SO-9019","2024-04-17","P101","Magical Dark Chocolate","13","CUST-1192"
"SO-9020","2025-01-03","P101","Magical Dark Chocolate","162","CUST-1041"
"SO-9021","2022-07-02","P101","Magical Dark Chocolate","55","CUST-1299"
"SO-9022","2025-01-24","P101","Magical Dark Chocolate","69","CUST-1256"
"SO-9023","2022-12-18","P201","Mystic White Chocolate","70","CUST-1251"
"SO-9024","2026-02-15","P103","Golden Cocoa Truffles","115","CUST-1439"
"SO-9025","2025-09-16","P201","Mystic White Chocolate","60","CUST-1208"
"SO-9026","2024-09-19","P102","Enchanted Milk Chocolate","34","CUST-1329"
"SO-9027","2025-12-13","P102","Enchanted Milk Chocolate","46","CUST-1098"
"SO-9028","2024-07-21","P102","Enchanted Milk Chocolate","116","CUST-1179"
"SO-9029","2025-09-15","P102","Enchanted Milk Chocolate","49","CUST-1221"
