PO_ID,SupplierID,OrderDate,ExpectedDeliveryDate,Status,TotalCost
"PO-8001","SUP02","2025-05-05","2025-06-16","Delivered","54083.50"
"PO-8002","SUP02","2022-07-09","2022-07-27","Shipped","35014.00"
"PO-8003","SUP03","2024-07-17","2024-08-16","Delivered","57645.00"
"PO-8004","SUP01","2022-12-24","2023-02-01","Cancelled","19508.00"
"PO-8005","SUP04","2025-02-16","2025-03-22","Shipped","6716.70"
"PO-8006","SUP01","2023-06-11","2023-06-25","Delivered","3733.20"
"PO-8007","SUP01","2024-12-03","2025-01-04","Delivered","46489.50"
"PO-8008","SUP04","2022-12-20","2023-01-25","Shipped","30811.10"
"PO-8009","SUP03","2023-12-29","2024-02-06","Shipped","36136.75"
"PO-8010","SUP02","2026-04-10","2026-05-10","Cancelled","11955.00"
"PO-8011","SUP03","2023-11-16","2023-12-12","Shipped","9487.40"
"PO-8012","SUP01","2026-01-09","2026-01-23","Shipped","3978.00"
"PO-8013","SUP02","2025-10-01","2025-11-05","Cancelled","19381.00"
"PO-8014","SUP02","2023-10-04","2023-11-17","Cancelled","33929.00"
"PO-8015","SUP01","2024-02-10","2024-03-14","Delivered","24922.50"
"PO-8016","SUP04","2025-12-15","2026-01-03","Cancelled","33451.30"
"PO-8017","SUP02","2022-10-29","2022-12-05","Delivered","11893.20"
"PO-8018","SUP04","2024-05-08","2024-06-05","Shipped","63208.50"
"PO-8019","SUP01","2026-02-03","2026-03-15","Shipped","7726.50"
"PO-8020","SUP04","2026-04-24","2026-05-20","Shipped","33860.65"
"PO-8021","SUP01","2023-03-06","2023-03-22","Cancelled","10053.75"
"PO-8022","SUP01","2025-08-28","2025-10-05","Ordered","18538.15"
"PO-8023","SUP03","2024-09-06","2024-10-18","Delivered","29007.50"
"PO-8024","SUP03","2025-05-28","2025-06-11","Shipped","14315.95"
"PO-8025","SUP03","2023-11-23","2023-12-13","Ordered","15780.50"
"PO-8026","SUP03","2023-02-05","2023-03-09","Ordered","7042.00"
"PO-8027","SUP01","2022-07-24","2022-08-09","Shipped","9205.00"
"PO-8028","SUP03","2023-07-18","2023-08-29","Delivered","6686.10"
"PO-8029","SUP04","2024-09-27","2024-11-10","Shipped","47823.50"
"PO-8030","SUP02","2025-01-24","2025-03-08","Delivered","64349.50"
"PO-8031","SUP04","2025-07-02","2025-07-22","Cancelled","993.50"
"PO-8032","SUP04","2022-07-03","2022-08-07","Shipped","13870.00"
"PO-8033","SUP02","2025-12-10","2025-12-25","Delivered","36129.40"
"PO-8034","SUP02","2025-02-23","2025-03-19","Ordered","26591.25"
"PO-8035","SUP01","2023-04-21","2023-05-26","Shipped","18684.25"
"PO-8036","SUP04","2023-02-19","2023-04-03","Ordered","75686.90"
"PO-8037","SUP04","2023-06-05","2023-07-16","Cancelled","55611.40"
"PO-8038","SUP01","2025-06-21","2025-08-04","Delivered","27028.75"
"PO-8039","SUP04","2024-07-22","2024-09-05","Shipped","50618.30"
"PO-8040","SUP01","2023-09-23","2023-10-18","Delivered","5533.30"
"PO-8041","SUP02","2022-04-05","2022-05-18","Ordered","33730.80"
"PO-8042","SUP03","2024-11-21","2024-12-14","Delivered","67398.90"
"PO-8043","SUP03","2025-07-03","2025-07-31","Delivered","43411.75"
"PO-8044","SUP02","2026-01-24","2026-02-26","Ordered","12959.00"
"PO-8045","SUP02","2026-01-25","2026-02-28","Ordered","42461.75"
"PO-8046","SUP01","2025-12-29","2026-01-23","Delivered","7053.80"
"PO-8047","SUP02","2025-01-21","2025-02-18","Ordered","27518.75"
"PO-8048","SUP04","2026-02-28","2026-03-26","Shipped","23800.50"
"PO-8049","SUP03","2022-07-07","2022-08-15","Cancelled","62671.75"
"PO-8050","SUP01","2023-08-17","2023-09-27","Delivered","25030.50"
"PO-8051","SUP01","2023-12-09","2024-01-18","Shipped","3784.60"
"PO-8052","SUP03","2025-05-12","2025-06-26","Shipped","53983.40"
"PO-8053","SUP01","2023-06-17","2023-07-28","Cancelled","45648.75"
"PO-8054","SUP04","2023-09-13","2023-10-09","Shipped","28851.50"
"PO-8055","SUP04","2022-11-22","2022-12-08","Shipped","38494.50"
"PO-8056","SUP03","2025-12-13","2026-01-02","Cancelled","10306.70"
"PO-8057","SUP02","2022-11-15","2022-12-25","Ordered","57797.55"
"PO-8058","SUP01","2025-04-10","2025-05-23","Cancelled","30472.20"
"PO-8059","SUP04","2024-03-01","2024-03-22","Shipped","30745.50"
"PO-8060","SUP03","2022-11-24","2022-12-10","Cancelled","54631.30"
"PO-8061","SUP02","2024-08-15","2024-09-08","Cancelled","950.50"
"PO-8062","SUP04","2023-03-15","2023-03-29","Shipped","32636.00"
"PO-8063","SUP02","2025-10-09","2025-11-12","Ordered","40241.00"
"PO-8064","SUP03","2025-08-29","2025-10-13","Delivered","16117.50"
"PO-8065","SUP03","2024-03-22","2024-04-15","Cancelled","24203.30"
"PO-8066","SUP03","2026-01-16","2026-02-03","Shipped","36717.50"
"PO-8067","SUP03","2024-04-10","2024-04-26","Cancelled","722.00"
"PO-8068","SUP02","2025-11-14","2025-12-19","Cancelled","9101.70"
"PO-8069","SUP04","2025-03-05","2025-03-25","Shipped","23955.75"
"PO-8070","SUP02","2025-04-03","2025-05-16","Cancelled","4737.90"
"PO-8071","SUP01","2025-02-26","2025-04-03","Shipped","16380.00"
"PO-8072","SUP01","2024-01-28","2024-02-11","Ordered","9008.00"
"PO-8073","SUP01","2022-02-05","2022-02-22","Shipped","10455.00"
"PO-8074","SUP03","2024-09-21","2024-10-16","Cancelled","42559.30"
"PO-8075","SUP01","2024-08-28","2024-09-15","Ordered","21459.45"
"PO-8076","SUP03","2026-03-27","2026-05-11","Cancelled","24005.75"
"PO-8077","SUP04","2024-08-17","2024-09-14","Ordered","34598.50"
"PO-8078","SUP03","2025-02-10","2025-03-19","Delivered","30539.50"
"PO-8079","SUP01","2023-10-14","2023-11-22","Ordered","55468.80"
"PO-8080","SUP01","2023-03-25","2023-04-22","Shipped","18411.30"
"PO-8081","SUP01","2023-07-15","2023-08-25","Shipped","6742.20"
"PO-8082","SUP04","2024-11-12","2024-12-15","Shipped","32198.00"
"PO-8083","SUP03","2022-02-18","2022-04-02","Shipped","1121.50"
"PO-8084","SUP03","2023-01-05","2023-02-04","Ordered","37597.00"
"PO-8085","SUP01","2024-09-30","2024-10-22","Shipped","12173.35"
"PO-8086","SUP02","2023-02-14","2023-03-27","Ordered","30385.50"
"PO-8087","SUP01","2025-04-23","2025-06-04","Cancelled","36117.75"
"PO-8088","SUP01","2023-09-29","2023-10-30","Delivered","16327.50"
"PO-8089","SUP03","2026-03-02","2026-04-06","Cancelled","3809.70"
"PO-8090","SUP04","2026-04-16","2026-05-14","Shipped","12950.00"
"PO-8091","SUP01","2026-04-20","2026-05-30","Delivered","36026.25"
"PO-8092","SUP02","2022-09-29","2022-10-25","Shipped","38539.80"
"PO-8093","SUP01","2022-08-08","2022-09-04","Delivered","4480.00"
"PO-8094","SUP01","2023-06-24","2023-07-14","Shipped","52479.50"
"PO-8095","SUP03","2024-01-31","2024-03-05","Cancelled","17268.40"
"PO-8096","SUP02","2026-04-21","2026-05-24","Shipped","7026.25"
"PO-8097","SUP01","2022-05-24","2022-06-23","Shipped","21554.75"
"PO-8098","SUP01","2023-07-26","2023-09-07","Delivered","30274.50"
"PO-8099","SUP04","2026-02-28","2026-03-31","Cancelled","6007.80"
"PO-8100","SUP04","2022-12-07","2023-01-16","Ordered","23511.45"
"PO-8101","SUP01","2025-03-27","2025-04-29","Ordered","26684.00"
"PO-8102","SUP03","2025-08-03","2025-08-21","Ordered","52958.75"
"PO-8103","SUP04","2025-12-02","2025-12-17","Ordered","3343.30"
"PO-8104","SUP04","2024-08-10","2024-08-31","Shipped","31410.50"
"PO-8105","SUP03","2025-02-28","2025-03-21","Cancelled","53458.40"
"PO-8106","SUP03","2026-04-10","2026-05-11","Shipped","44397.10"
"PO-8107","SUP01","2025-06-07","2025-07-08","Delivered","22777.65"
"PO-8108","SUP03","2025-06-07","2025-07-13","Ordered","17421.25"
"PO-8109","SUP04","2022-12-09","2023-01-02","Cancelled","13899.00"
"PO-8110","SUP03","2026-02-26","2026-04-05","Delivered","55427.50"
"PO-8111","SUP03","2023-10-05","2023-11-06","Shipped","10098.00"
"PO-8112","SUP04","2023-07-16","2023-08-20","Cancelled","21525.00"
"PO-8113","SUP04","2022-06-15","2022-07-21","Shipped","27467.50"
"PO-8114","SUP04","2022-07-01","2022-08-06","Delivered","14253.75"
"PO-8115","SUP02","2025-09-20","2025-10-15","Ordered","34286.90"
"PO-8116","SUP02","2024-08-31","2024-09-27","Shipped","32608.50"
"PO-8117","SUP03","2023-08-24","2023-09-08","Ordered","27301.90"
"PO-8118","SUP01","2023-12-30","2024-01-28","Delivered","941.50"
"PO-8119","SUP02","2023-04-13","2023-05-09","Ordered","3156.90"
"PO-8120","SUP02","2026-02-11","2026-03-28","Cancelled","80406.00"
"PO-8121","SUP02","2023-08-07","2023-09-21","Cancelled","30811.50"
"PO-8122","SUP01","2025-07-03","2025-07-25","Ordered","5609.30"
"PO-8123","SUP01","2023-03-27","2023-04-28","Delivered","1408.50"
"PO-8124","SUP01","2025-06-05","2025-07-01","Delivered","7414.00"
"PO-8125","SUP02","2022-05-29","2022-06-25","Cancelled","4873.75"
"PO-8126","SUP01","2022-08-13","2022-09-08","Cancelled","37289.50"
"PO-8127","SUP01","2024-10-19","2024-11-05","Ordered","6002.70"
"PO-8128","SUP04","2024-01-22","2024-02-11","Delivered","38769.25"
"PO-8129","SUP01","2022-05-19","2022-06-05","Ordered","4182.00"
"PO-8130","SUP01","2026-05-23","2026-06-20","Cancelled","51912.40"
"PO-8131","SUP01","2025-07-21","2025-09-01","Delivered","6216.90"
"PO-8132","SUP02","2022-08-15","2022-09-20","Delivered","14820.60"
"PO-8133","SUP01","2023-08-17","2023-09-23","Delivered","34922.75"
"PO-8134","SUP03","2026-01-26","2026-03-06","Delivered","15429.05"
"PO-8135","SUP03","2023-04-20","2023-05-21","Shipped","518.50"
"PO-8136","SUP04","2022-06-21","2022-07-09","Cancelled","45339.80"
"PO-8137","SUP02","2024-01-11","2024-02-17","Shipped","19104.00"
"PO-8138","SUP03","2024-02-04","2024-02-18","Ordered","34908.70"
"PO-8139","SUP03","2024-09-17","2024-10-04","Shipped","26117.00"
"PO-8140","SUP04","2025-02-24","2025-04-07","Delivered","4681.80"
"PO-8141","SUP01","2025-12-18","2026-01-07","Delivered","10242.20"
"PO-8142","SUP01","2024-12-20","2025-01-12","Delivered","47748.25"
"PO-8143","SUP02","2022-05-25","2022-06-15","Delivered","40159.50"
"PO-8144","SUP01","2022-05-30","2022-07-06","Ordered","56784.60"
"PO-8145","SUP01","2023-09-16","2023-10-05","Cancelled","15426.25"
"PO-8146","SUP01","2025-01-08","2025-02-05","Delivered","8919.50"
"PO-8147","SUP02","2025-07-15","2025-08-14","Shipped","945.50"
"PO-8148","SUP01","2023-09-26","2023-10-14","Delivered","9248.00"
"PO-8149","SUP01","2024-11-17","2024-12-27","Shipped","58819.90"
"PO-8150","SUP03","2022-02-05","2022-03-05","Cancelled","9649.50"
"PO-8151","SUP04","2023-09-25","2023-10-30","Cancelled","53767.50"
"PO-8152","SUP01","2024-07-17","2024-08-04","Ordered","21786.60"
"PO-8153","SUP04","2025-11-10","2025-12-08","Cancelled","42438.75"
"PO-8154","SUP02","2023-02-24","2023-03-28","Ordered","36082.50"
"PO-8155","SUP01","2025-11-17","2025-12-02","Shipped","40191.00"
"PO-8156","SUP03","2023-12-24","2024-01-14","Delivered","58358.75"
"PO-8157","SUP04","2022-08-04","2022-09-03","Shipped","8726.10"
"PO-8158","SUP01","2025-10-22","2025-11-28","Delivered","24997.50"
"PO-8159","SUP04","2023-06-24","2023-07-28","Delivered","361.00"
"PO-8160","SUP01","2024-12-24","2025-01-08","Ordered","21904.50"
"PO-8161","SUP01","2023-12-11","2024-01-02","Cancelled","3095.70"
"PO-8162","SUP04","2023-05-05","2023-05-28","Shipped","54329.50"
"PO-8163","SUP04","2024-12-29","2025-01-22","Cancelled","26137.75"
"PO-8164","SUP04","2022-08-06","2022-08-30","Delivered","55887.80"
"PO-8165","SUP01","2023-03-23","2023-04-17","Ordered","41799.50"
"PO-8166","SUP01","2022-05-16","2022-06-04","Cancelled","51562.60"
"PO-8167","SUP02","2022-08-23","2022-09-06","Shipped","28043.90"
"PO-8168","SUP02","2024-02-15","2024-03-08","Delivered","23028.50"
"PO-8169","SUP01","2024-09-02","2024-10-11","Cancelled","1263.50"
"PO-8170","SUP03","2022-02-23","2022-03-27","Shipped","60834.00"
"PO-8171","SUP03","2024-03-23","2024-04-22","Ordered","31259.90"
"PO-8172","SUP03","2023-08-04","2023-08-23","Cancelled","4273.80"
