ShipmentID,CarrierID,OriginWarehouseID,DestinationAddress,ShipDate,Status
"SHP-1","CAR-03","WH-N","Customer Address","2023-03-27","In Transit"
"SHP-2","CAR-01","WH-E","Customer Address","2022-10-10","Delayed"
"SHP-3","CAR-03","WH-N","Customer Address","2023-01-12","Delivered"
"SHP-4","CAR-03","WH-A","Customer Address","2022-11-20","In Transit"
"SHP-5","CAR-02","WH-E","Customer Address","2025-09-17","Delivered"
"SHP-6","CAR-03","WH-N","Customer Address","2022-05-10","In Transit"
"SHP-7","CAR-01","WH-A","Customer Address","2025-05-04","Delayed"
"SHP-8","CAR-04","WH-E","Customer Address","2024-07-23","Processing"
"SHP-9","CAR-01","WH-N","Customer Address","2025-04-04","Delivered"
"SHP-10","CAR-04","WH-N","Customer Address","2026-03-27","Processing"
"SHP-11","CAR-01","WH-A","Customer Address","2022-05-28","Delivered"
"SHP-12","CAR-04","WH-N","Customer Address","2024-11-08","Processing"
"SHP-13","CAR-04","WH-A","Customer Address","2022-09-29","Delayed"
"SHP-14","CAR-04","WH-N","Customer Address","2025-04-09","Delivered"
"SHP-15","CAR-01","WH-E","Customer Address","2024-01-13","Delayed"
"SHP-16","CAR-01","WH-A","Customer Address","2025-04-27","Processing"
"SHP-17","CAR-04","WH-N","Customer Address","2025-09-12","Delayed"
"SHP-18","CAR-02","WH-N","Customer Address","2024-02-12","Processing"
"SHP-19","CAR-03","WH-N","Customer Address","2024-04-18","Delayed"
"SHP-20","CAR-04","WH-N","Customer Address","2025-01-05","Delivered"
"SHP-21","CAR-03","WH-N","Customer Address","2022-07-03","Delivered"
"SHP-22","CAR-04","WH-A","Customer Address","2025-01-25","Delivered"
"SHP-23","CAR-01","WH-A","Customer Address","2022-12-20","Processing"
"SHP-24","CAR-02","WH-N","Customer Address","2026-02-17","Delayed"
"SHP-25","CAR-01","WH-N","Customer Address","2025-09-17","In Transit"
"SHP-26","CAR-02","WH-A","Customer Address","2024-09-21","Processing"
"SHP-27","CAR-03","WH-E","Customer Address","2025-12-14","Delivered"
"SHP-28","CAR-01","WH-N","Customer Address","2024-07-22","Delayed"
"SHP-29","CAR-01","WH-A","Customer Address","2025-09-16","Delayed"
"SHP-30","CAR-02","WH-N","Customer Address","2023-03-18","In Transit"
"SHP-31","CAR-04","WH-E","Customer Address","2025-09-06","In Transit"
"SHP-32","CAR-01","WH-A","Customer Address","2025-05-15","In Transit"
"SHP-33","CAR-02","WH-E","Customer Address","2023-04-13","In Transit"
"SHP-34","CAR-03","WH-A","Customer Address","2024-05-29","In Transit"
"SHP-35","CAR-04","WH-N","Customer Address","2022-07-12","Delayed"
"SHP-36","CAR-03","WH-N","Customer Address","2024-05-29","Delivered"
"SHP-37","CAR-03","WH-N","Customer Address","2023-07-10","Delivered"
"SHP-38","CAR-03","WH-A","Customer Address","2023-05-30","In Transit"
"SHP-39","CAR-04","WH-N","Customer Address","2023-01-16","Processing"
"SHP-40","CAR-03","WH-A","Customer Address","2022-09-26","Delayed"
"SHP-41","CAR-01","WH-N","Customer Address","2025-03-08","Processing"
"SHP-42","CAR-01","WH-E","Customer Address","2022-03-14","In Transit"
"SHP-43","CAR-03","WH-A","Customer Address","2024-07-03","In Transit"
"SHP-44","CAR-03","WH-N","Customer Address","2025-09-26","Processing"
"SHP-45","CAR-02","WH-N","Customer Address","2022-03-02","Delivered"
"SHP-46","CAR-03","WH-A","Customer Address","2025-03-31","Delayed"
"SHP-47","CAR-02","WH-E","Customer Address","2022-11-21","Processing"
"SHP-48","CAR-02","WH-N","Customer Address","2024-09-02","Delivered"
"SHP-49","CAR-02","WH-E","Customer Address","2022-01-17","In Transit"
"SHP-50","CAR-01","WH-E","Customer Address","2025-12-25","Processing"
"SHP-51","CAR-01","WH-N","Customer Address","2025-06-06","Processing"
"SHP-52","CAR-01","WH-N","Customer Address","2025-11-10","Delivered"
"SHP-53","CAR-02","WH-E","Customer Address","2024-01-09","Delivered"
"SHP-54","CAR-04","WH-N","Customer Address","2024-07-14","Processing"
"SHP-55","CAR-01","WH-E","Customer Address","2025-01-03","In Transit"
"SHP-56","CAR-03","WH-A","Customer Address","2024-10-05","In Transit"
"SHP-57","CAR-01","WH-N","Customer Address","2025-03-06","Delayed"
"SHP-58","CAR-01","WH-A","Customer Address","2023-09-06","Delivered"
