InventoryID,MaterialID,WarehouseID,QuantityOnHand,LastStocktakeDate
"INV-1","RM01","WH-E","5268","2026-05-06"
"INV-2","RM01","WH-N","4621","2026-05-25"
"INV-3","RM01","WH-A","5751","2026-05-22"
"INV-4","RM02","WH-E","9064","2026-05-14"
"INV-5","RM02","WH-N","9201","2026-04-29"
"INV-6","RM02","WH-A","4447","2026-05-01"
"INV-7","RM03","WH-E","8241","2026-05-01"
"INV-8","RM03","WH-N","3590","2026-05-01"
"INV-9","RM03","WH-A","3603","2026-05-09"
"INV-10","RM04","WH-E","663","2026-05-01"
"INV-11","RM04","WH-N","920","2026-05-17"
"INV-12","RM04","WH-A","3077","2026-05-22"
